"","Phylum","phylum.cols","shape"
"1","P_Bacteroidetes","#a6cee3",19
"2","P_Firmicutes","#1f78b4",19
"3","P_Proteobacteria","#b2df8a",19
"4","P_Actinobacteria","#33a02c",19
"5","P_Verrucomicrobia","#fb9a99",19
"6","P_Cyanobacteria","#e31a1c",19
"7","P_Fusobacteria","#fdbf6f",19
"8","P_Tenericutes","#ff7f00",19
"9","P_Lentisphaerae","#cab2d6",19
"10","P_Elusimicrobia","#6a3d9a",19
"11","P_Spirochaetes","#ffff99",19
"12","P_TM7","#b15928",19
"13","P_Synergistetes","#969696",19
"14","K_Bacteria","#525252",19
